ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster9of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2292-0.3251,0.0127-0.0682,-0.0025-0.0169,0.3695-0.4991,0.1178-0.2034,0.0069-0.0482,-0.0006-0.0031,-0.0002-0.0023,0.0013-0.0481,0.0-0.0,0.0003-0.0128,0.0026-0.0221
bII,-0.1656-0.737,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.062-0.1477,0.0-0.0,-0.0347-0.4405,-0.0559-0.4214,-0.1656-0.737
II,0.0917-0.3309,0.0392-0.2475,-0.039-0.1433,0.1653-0.5287,0.0162-0.1457,0.0-0.0,0.0-0.0,-0.0374-0.1069,-0.0467-0.1336,0.0-0.0,0.0-0.0,-0.0376-0.2115
bIII,-0.003-0.3716,-0.057-0.307,0.0-0.0,-0.002-0.1895,-0.0386-0.2417,0.0-0.0,0.0-0.0,-0.03-0.1038,0.0147-0.2692,-0.0354-0.0979,0.0479-0.4691,-0.0303-0.0839
III,-0.0228-0.2006,-0.0963-0.5496,0.0077-0.4198,-0.0074-0.0332,-0.0268-0.2675,-0.0225-0.2481,-0.1451-0.3673,0.0-0.0,-0.1451-0.3673,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.6777-0.7934,-0.0062-0.0472,-0.0085-0.0375,0.053-0.1109,0.0632-0.1318,0.0019-0.0171,0.0-0.0,0.0-0.0,0.0009-0.007,0.0-0.0,-0.0089-0.0311,-0.0023-0.0439
bV,0.0-0.0,0.0-0.0,0.0-0.0,-0.3553-0.7553,0.0-0.0,0.0-0.0,0.0-0.0,-0.0828-1.2028,0.0-0.0,0.0-0.0,-0.2984-0.7784,0.0-0.0
V,0.4427-0.5929,0.0004-0.0442,-0.0011-0.0034,0.1014-0.1965,0.1341-0.2479,0.0252-0.1282,0.0-0.0,0.0-0.0,0.0-0.0,-0.0011-0.0058,-0.0034-0.0203,-0.0086-0.0361
bVI,-0.0263-0.3523,0.0-0.0,-0.0032-0.0089,-0.0568-0.2088,-0.0011-0.2849,0.0-0.0,0.0-0.0,-0.0209-0.3438,0.0084-0.158,-0.0221-0.0612,0.0099-0.1742,0.0384-0.4738
VI,0.1269-0.4573,0.0148-0.2168,-0.0192-0.1799,0.1143-0.4095,0.0084-0.1373,0.0385-0.1989,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0093-0.0372,-0.0114-0.1001
bVII,0.1383-0.4869,0.0-0.0,0.0-0.0,0.0002-0.1381,0.1805-0.5893,-0.0036-0.1317,-0.0259-0.0735,0.0-0.0,-0.0148-0.042,0.0-0.0,-0.0119-0.0534,0.0187-0.1886
VII,-0.8362-0.979,0.0-0.0,-1.6723-1.958,0.0-0.0,0.0-0.0,-1.6723-1.958,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-3.8951-5.1808
