ConfidenceIntervalTransitionalProbabilitiestableFor-output7cluster5of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2546-0.3757,0.0226-0.0932,0.0077-0.0381,0.1989-0.3371,0.0607-0.1438,0.0073-0.0691,0.0-0.0,-0.0005-0.0029,-0.0026-0.0473,-0.0007-0.0021,0.0014-0.01,0.1013-0.2129
bII,-0.1591-0.54,-0.1034-0.2462,-0.0345-0.0821,0.0-0.0,-0.0689-0.1641,0.0-0.0,0.0-0.0,-0.0513-0.3847,0.0-0.0,-0.0422-0.5469,-0.0988-0.5941,0.0-0.0
II,0.0763-0.2632,0.0584-0.1929,-0.0084-0.1396,0.0979-0.3181,0.2258-0.4425,-0.0067-0.1277,-0.0035-0.0103,0.0-0.0,-0.0018-0.0157,0.0-0.0,0.0-0.0,0.0035-0.0485
bIII,0.0565-0.3184,0.0008-0.2531,-0.0075-0.0218,0.1111-0.4237,-0.0076-0.1487,0.0-0.0,-0.0376-0.109,0.0-0.0,0.0228-0.1591,0.0-0.0,-0.0084-0.1618,0.0174-0.2568
III,-0.016-0.0961,0.0587-0.3421,0.0481-0.201,0.0726-0.3809,0.0212-0.2467,0.0352-0.2225,-0.0211-0.1749,0.0-0.0,-0.0294-0.1448,0.0-0.0,-0.0045-0.0131,-0.0044-0.0126
IV,0.4617-0.5911,0.0113-0.0405,0.0036-0.0502,0.0926-0.1718,0.1169-0.2186,0.0044-0.05,-0.0014-0.0044,-0.0005-0.0015,-0.0008-0.0277,-0.0016-0.0048,0.0018-0.0153,0.0347-0.0953
bV,0.0-0.0,0.0-0.0,-0.2063-0.5463,-0.2086-0.8753,0.0-0.0,-0.2618-0.5951,-0.1636-0.3719,-0.109-0.3108,-0.0654-0.1488,-0.0654-0.1488,-0.0654-0.1488,0.0-0.0
V,0.267-0.4008,0.0108-0.0624,0.0044-0.0491,0.1022-0.2191,0.2164-0.3352,0.0228-0.0721,-0.0004-0.0013,-0.001-0.003,0.0015-0.0484,-0.0018-0.0053,-0.0038-0.0675,0.0207-0.0821
bVI,0.0077-0.1925,-0.0426-0.1226,0.0-0.0,-0.031-0.1012,0.0169-0.2805,-0.0257-0.1458,-0.0033-0.0094,-0.0236-0.1082,0.0303-0.3239,-0.0368-0.1292,0.0425-0.2313,0.0567-0.3644
VI,0.0147-0.1482,0.062-0.2676,0.0167-0.1538,0.1258-0.3697,0.0554-0.2448,0.027-0.1301,-0.0003-0.0008,0.0-0.0,0.0-0.0,0.0-0.0,-0.0228-0.093,0.0468-0.2668
bVII,0.0236-0.077,-0.0048-0.0242,0.0-0.0,0.7769-0.8763,0.0108-0.0692,-0.0012-0.0241,-0.0003-0.0082,0.0-0.0,0.0002-0.0239,0.0-0.0,-0.0027-0.0341,0.0082-0.0523
VII,0.0713-0.7287,0.0-0.0,-0.0682-0.3182,-0.0631-0.1631,-0.0631-0.1631,-0.0325-0.1065,-0.0227-0.2717,0.0-0.0,-0.0453-0.2068,-0.1262-0.3262,-0.0097-0.0251,0.0-0.0
