meanTransistionProbabilitiestableFor-output11cluster3of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2937,0.0861,0.0352,0.2379,0.1146,0.1882,0.0032,0.0,0.0013,0.0,0.0213,0.017
bII,0.4397,0.0357,0.0,0.0,0.0,0.0,0.0,0.2223,0.1071,0.0259,0.0,0.1607
II,0.179,0.1151,0.0764,0.2596,0.2026,0.0582,0.022,0.0143,0.0,0.0143,0.0012,0.0573
bIII,0.0104,0.2153,0.0333,0.0417,0.0483,0.0833,0.0,0.0833,0.2326,0.0333,0.1768,0.0208
III,0.0418,0.3028,0.1147,0.0864,0.1301,0.2248,0.0,0.0198,0.0404,0.0185,0.0,0.0185
IV,0.0556,0.0206,0.0243,0.0608,0.8169,0.003,0.0,0.0,0.0014,0.0,0.0082,0.0087
bV,0.0,0.0,0.3333,0.0,0.1667,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0
V,0.6346,0.0189,0.0256,0.1279,0.1026,0.0576,0.0,0.0055,0.0034,0.0,0.0148,0.0045
bVI,0.1901,0.0,0.0,0.0337,0.4182,0.0556,0.0,0.0556,0.0278,0.0,0.0804,0.1387
VI,0.0872,0.077,0.0304,0.4867,0.1419,0.1471,0.0094,0.0,0.0029,0.0015,0.0135,0.0024
bVII,0.307,0.0294,0.0,0.0588,0.1048,0.0824,0.0662,0.0,0.1471,0.0,0.0941,0.1103
VII,0.3542,0.0,0.0217,0.3116,0.2083,0.0,0.0625,0.0,0.0417,0.0,0.0,0.0
