meanTransistionProbabilities1.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.4426,0.0049,0.0455,0.017,0.0121,0.2197,0.0021,0.1079,0.0183,0.059,0.0619,0.0061
bII,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
II,0.2617,0.0,0.0527,0.04,0.0782,0.2096,0.0,0.3087,0.0,0.0,0.0491,0.0
bIII,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
III,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IV,0.37,0.0002,0.0418,0.0169,0.0267,0.2311,0.0095,0.2249,0.011,0.0197,0.045,0.0005
bV,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
V,0.4546,0.0007,0.0364,0.0069,0.0176,0.1255,0.0021,0.2819,0.0246,0.029,0.0103,0.002
bVI,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
VI,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bVII,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
VII,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
